,Unnamed: 0,datedict,timedict,BLlist,BRList,entp,extp,percandlev,Fcv,VpTotal,VnTotal,Real,Predicted,Real_Predicted,abc,Won_Mode,Loose_Mode
69,69,2023-06-30,11:31:00,BL_2445.039,-_-2254.685,853.3,860.4,-553.12,422.464,140621.75,-148918.58000000002,WON,Loose,WON_Loose,-5.900104357967393,-17.493423553699216,-27.295862122517832
70,70,2023-06-30,12:46:00,_4689.896,BR_-6934.154,860.7,860.6,-4481.57,687.75,455972.325,-523195.92,Loose,Loose,Loose_Loose,-14.742911206288667,-17.493423553699216,-27.295862122517832
71,71,2023-06-30,13:16:00,BL_6656.902,-_-5631.282,860.85,860.6,-6760.94,-751.528,679652.979,-781067.04,Loose,Loose,Loose_Loose,-14.921447287587029,-17.493423553699216,-27.295862122517832
72,72,2023-06-30,13:46:00,_5143.883,BR_-7919.801,861.55,860.6,-6941.64,-873.808,946865.703,-1050990.358,Loose,Loose,Loose_Loose,-10.99677120737364,-17.493423553699216,-27.295862122517832
73,73,2023-07-03,13:31:00,BL_6473.346,-_-3722.769,858.85,859.45,-9685.72,-669.356,648995.6340000001,-794281.446,WON,Loose,WON_Loose,-22.38625414235065,-17.493423553699216,-27.295862122517832
74,74,2023-07-03,14:01:00,_3592.937,BR_-4801.558,858.95,859.45,-4697.96,748.619,947278.84,-1017748.22,WON,Loose,WON_Loose,-7.439137983911905,-17.493423553699216,-27.295862122517832
75,75,2023-07-04,11:01:00,BL_2364.736,-_-1400.318,855.55,855.4,323.79,-307.606,73701.952,-68845.176,Loose,WON,Loose_WON,6.5897521954371,-17.493423553699216,-27.295862122517832
76,76,2023-07-04,12:31:00,BL_3385.172,-_-2473.444,855.25,855.4,2538.97,428.33,353021.816,-314937.252,WON,WON,WON_WON,10.788161601888078,-17.493423553699216,-27.295862122517832
77,77,2023-07-05,11:01:00,BL_9950.759,-_-7985.63,845.0,841.6,-6101.01,-1316.945,147479.2,-238994.304,Loose,Loose,Loose_Loose,-62.0528888141514,-17.493423553699216,-27.295862122517832
78,78,2023-07-05,13:01:00,BL_17681.765,-_-10490.347,844.8,841.15,-23768.41,-1789.68,1550066.384,-1906592.56,Loose,Loose,Loose_Loose,-23.000703691152353,-17.493423553699216,-27.295862122517832
79,79,2023-07-05,13:46:00,BL_14189.752,-_-13113.824,843.85,846.35,-33007.23,2084.645,2528626.001,-3023734.404,WON,Loose,WON_Loose,-19.580135726050386,-17.493423553699216,-27.295862122517832
80,80,2023-07-05,14:16:00,BL_19427.997,-_-16832.938,844.3,846.35,-41979.48,2209.35,3401393.898,-4031086.08,WON,Loose,WON_Loose,-18.51276861436881,-17.493423553699216,-27.295862122517832
81,81,2023-07-06,12:16:00,BL_7612.141,-_-7483.62,844.6,844.9,-3430.01,-1099.83,741630.7080000001,-793080.873,WON,Loose,WON_Loose,-6.937437250777904,-17.493423553699216,-27.295862122517832
82,82,2023-07-06,12:46:00,_5672.164,BR_-8935.504,844.75,844.9,-6253.15,-1143.374,1036934.355,-1130731.53,WON,Loose,WON_Loose,-9.045623240055534,-17.493423553699216,-27.295862122517832
83,83,2023-07-07,12:16:00,BL_9084.452,-_-8927.868,834.35,833.05,-4486.84,1315.765,988986.154,-1056288.74,Loose,Loose,Loose_Loose,-6.805210136440394,-17.493423553699216,-27.295862122517832
84,84,2023-07-07,12:46:00,_10769.741,BR_-13244.273,834.45,833.05,-13225.87,-1356.785,1356469.6949999998,-1554857.685,Loose,Loose,Loose_Loose,-14.62531678601195,-17.493423553699216,-27.295862122517832
85,85,2023-07-07,13:16:00,BL_15478.289,-_-9596.883,837.05,833.05,-10362.63,-1436.155,1884256.846,-2039696.295,Loose,Loose,Loose_Loose,-8.249376900499271,-17.493423553699216,-27.295862122517832
86,86,2023-07-10,10:16:00,BL_2590.807,-_-1164.264,827.95,824.1,-501.11,-275.5,17150.934999999998,-24667.65,Loose,Loose,Loose_Loose,-43.826852588503215,-17.493423553699216,-27.295862122517832
87,87,2023-07-11,11:01:00,BL_2294.667,-_-1365.921,832.0,839.0,477.94,-508.532,66619.576,-59450.512,WON,WON,WON_WON,10.76119727931021,-17.493423553699216,-27.295862122517832
88,88,2023-07-11,12:16:00,BL_6339.846,-_-4545.805,834.15,830.65,-2469.91,807.688,321435.231,-358483.814,Loose,Loose,Loose_Loose,-11.525987019139151,-17.493423553699216,-27.295862122517832
89,89,2023-07-12,11:01:00,_3805.82,BR_-4239.237,844.0,840.5,-2678.08,-459.865,89903.24,-130074.44,Loose,Loose,Loose_Loose,-44.68270553986707,-17.493423553699216,-27.295862122517832
